Campaign,Link Text,Description Line 1,Description Line 2,Final URL
TC | Busqueda | CABA,Ver precios,"Precio por modelo, publicado",Del iPhone 11 al 17 Pro Max,https://teamcelular.com/guias/reparacion-iphone-buenos-aires
TC | Busqueda | CABA,Pedir presupuesto,Respuesta por WhatsApp en 2 h,"Contanos marca, modelo y falla",https://teamcelular.com/presupuesto-reparacion
TC | Busqueda | CABA,Sucursal Recoleta,"Paraguay 2451, sin turno",Lunes a viernes 10:30 a 18:00,https://teamcelular.com/sucursales/caba/recoleta
TC | Busqueda | CABA,Sucursal Belgrano,"Amenábar 2032, sin turno",Lunes a viernes 10:30 a 18:00,https://teamcelular.com/sucursales/caba/belgrano
